Part Number,SIM,Zip Code,Status,Cell Tech,Plan,Reoccuring?,Card Type
STSAG955UCSVR,TF256PSIMV9N,33178,New,CDMA,6 Months Unlimited Plan,Reoccuring,Visa
STSAG950UCSVWHP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Visa
STLGL48VCWHP,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Discover
STLGL57BGWHP4,TF128PSIMC4N,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,American Express
STLGL58VCPWP,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Visa
STZEZ233VCGYWHP,TF256PSIMV9RM,33178,New,CDMA,1 Year Unlimited Plan,Reoccuring,Discover
STLG108C,,33178,New,CDMA,Unlimited Plan,Reoccuring,American Express
STZEZ232TGGYP,TF128PSIMT5RM,33178,New,GSM,3 Months Unlimited Plan,Reoccuring,Visa
STLG238CRCS,,33178,New,CDMA,6 Months Unlimited Plan,Reoccuring,Visa
STSAS320VC,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,Discover
STSAS550TGRCS,TF128PSIMT5N,33178,New,GSM,1 Year Unlimited Plan,Reoccuring,American Express
STZEZ916BGR4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STLGL53BGR4,TF128PSIMC4N,33178,New,GSM,Unlimited International Plan,Reoccuring,Discover
STLGL56VCPWP,TF256PSIMV9N,33178,New,CDMA,6 Months Unlimited Plan,Reoccuring,American Express
STLG442BGRCS4,TF64SIMC4,33178,New,GSM,3 Months Unlimited Plan,Reoccuring,Visa
STLG328BGR4,TF128SIMC4,33178,New,GSM,1 Year Unlimited Plan,Reoccuring,Discover
STZEZ291DGWHP4,TF128PSIMC4RM,33178,New,GSM,Hotspot 5 GB,Reoccuring,American Express
STZEZ291DCP,TF256PSIMV9RM,33178,New,CDMA,Hotspot 5 GB,Reoccuring,Visa
STSAS935DGSVWHP4,TF128PSIMC4N,33178,New,GSM,6 Months Unlimited Plan,Reoccuring,Discover
STSAS935DCSV,TF256PSIMV9N,33178,New,CDMA,3 Months Unlimited Plan,Reoccuring,American Express
STAPISEG16GYWHP4,TF128PSIMC4N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STALA571VC,TF256PSIMV9RM,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STALA570BGP7,TF128PSIMT5RM,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ717VCWHP,TF256PSIMV9RM,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STZEZ962BGRCS5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Discover
STALA621BGP4P,TF128PSIMC4RM,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL44VCPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STLGL51AG,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STLGL61AG,TF128PSIMC4N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL62VCR,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL82VCPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STLG329GRCS4,TF128SIMC4,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL43AGP4P,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Discover
STLGL52VCR,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STAPI6SC16RG,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STAPI6SPC16GYRB,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
PHST128PSIMC4DD,TF64PSIMC4DD,33178,New,GSM,BYOT 4 GB,Reoccuring,Discover
STLGL33GWHP4,TF128PSIMC4RM,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STSAS820CWHP,TF256PSIMV9RM,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STZEZ288CR,TF256PSIMV9,33178,New,CDMA,Hotspot 7 GB,Reoccuring,Visa
STLGL41CR,,33178,New,CDMA,Unlimited Plan,Reoccuring,Discover
STZEZ797CPWP,,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
PHST128PSIMC4ND,TF128PSIMC4ND,33178,New,GSM,BYOT 2 GB,Reoccuring,Visa
STSAS890GWHP,TF64PSIMC4RM,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STALA577VCR,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL158VCR,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STLGL164VCR,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL163BGR4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STLGL163BGR5,TF128PSIMT5N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL163BGR7,TF128PSIMCL7N,692,New,GSM,Unlimited Plan,Reoccuring,Discover
STLGL157BGR4,TF128PSIMC4N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL157BGR5,TF128PSIMT5N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL157BGR7,TF128PSIMCL7N,692,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ899VC2R,TF256PSIMV9RM,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STZEZ719DGRCS4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Discover
STZEZ719DGRCS5,TF128PSIMT5N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STZEZ719DGRCS7,TF128PSIMCL7N,692,New,GSM,Unlimited International Plan,Reoccuring,Visa
STZEZ719DCR,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STSAN950U1GRCS4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Discover
STSAN950U1GRCS5,TF128PSIMT5N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STSAN950U1GRCS7,TF128PSIMCL7N,692,New,GSM,Unlimited International Plan,Reoccuring,Visa
STSAN950U1C2R,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STZEZ558VCWHP,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STAPIXC64GYPWP.2,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Visa
STAPIXG64SVP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
